,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
1067,Turn Ethical Frameworks into Actionable Steps,Data Science,Machine Learning,"3,928",Approx. 15 hours to complete,,
1068,Ethical Social Media ,Social Sciences,Governance and Society,"23,680",Approx. 11 hours to complete,4.4,70 ratings
1069,Professional Responsibility and Ethics for Accountants,Business,Leadership and Management,"9,916",Approx. 20 hours to complete,4.8,25 ratings
1070,"Ethics, Technology and Engineering ",Physical Science and Engineering,Research Methods,"63,604",Beginner Level,4.5,
1071,European Business Law: Competing in Europe,Business,Business Essentials,"16,255",Approx. 15 hours to complete,4.7,200 ratings
1072,European Business Law: Doing Business in Europe,Business,Business Essentials,"20,891",Approx. 14 hours to complete,4.8,398 ratings
1073,EU policy and implementation: making Europe work! ,Social Sciences,Governance and Society,"15,279",Intermediate Level,4.3,122 ratings
1074,Understanding Europe: Why It Matters and What It Can Offer You,Social Sciences,Governance and Society,"33,570",Approx. 16 hours to complete,4.5,
1075,European Business Law: Understanding the Fundamentals,Business,Business Essentials,"44,862",Approx. 13 hours to complete,4.8,932 ratings
1076,Evaluating Designs with Users,Computer Science,Design and Product,"35,662",Beginner Level,4.8,165 ratings
1077,Evaluating Problems,Business,Leadership and Management,"23,407",Beginner Level,4.7,
1078,Evaluations of AI Applications in Healthcare,Data Science,Machine Learning,"35,181",Beginner Level,,10 ratings
1079,Everyday Chinese Medicine,Health,Basic Science,"33,776",Intermediate Level,4.7,
1080,Everyday Chinese Medicine 2,Health,Public Health,"9,713",Beginner Level,4.8,
1081,"Everyday Excel, Part 1",Computer Science,Design and Product,"572,882",Approx. 24 hours to complete,4.8,856 ratings
1082,"Everyday Excel, Part 2",Computer Science,Design and Product,"62,604",Approx. 21 hours to complete,4.9,97 ratings
1083,Applications of Everyday Leadership,Business,Leadership and Management,"259,057",Approx. 15 hours to complete,4.8,
1084,Foundations of Everyday Leadership,Business,Leadership and Management,"389,203",Approx. 15 hours to complete,4.8,"3,890 ratings"
1085,Everyday Parenting: The ABCs of Child Rearing,Health,Psychology,"226,157",Beginner Level,4.9,
1086,Evidence-based Toxicology,Health,Basic Science,"8,793",Beginner Level,4.8,54 ratings
1087,Evolution Today ,Health,Basic Science,"6,612",Beginner Level,4.6,143 ratings
1088,The Evolving Universe,Physical Science and Engineering,Physics and Astronomy,"70,629",Approx. 66 hours to complete,4.6,606 ratings
1089,Excel Skills for Business: Advanced,Business,Business Essentials,"679,560",Intermediate Level,4.7,"3,068 ratings"
1090,Problem Solving with Excel ,Data Science,Data Analysis,"121,309",Beginner Level,4.7,"4,507 ratings"
1091,Excel Basics for Data Analysis,Data Science,Data Analysis,"135,705",Beginner Level,4.5,24 ratings
1092,Introduction to Data Analysis Using Excel,Data Science,Data Analysis,"889,883",Approx. 20 hours to complete,4.7,
1093,Excel Fundamentals for Data Analysis,Business,Business Essentials,"222,828",Intermediate Level,4.7,357 ratings
1094,Excel Skills for Business: Essentials,Business,Business Essentials,"5,060,624",Approx. 26 hours to complete,4.9,
1095,مهارات برنامج Excel للعمل: المبادئ الأساسية,Business,Business Essentials,"43,275",Approx. 26 hours to complete,4.7,122 ratings
1096,Excel Skills for Business: Intermediate I,Business,Business Essentials,"1,981,092",Intermediate Level,4.9,"9,771 ratings"
1097,Excel Skills for Business: Intermediate II,Business,Business Essentials,"1,159,378",Intermediate Level,4.8,"4,572 ratings"
1098,"Excel/VBA for Creative Problem Solving, Part 1",Computer Science,Algorithms,"331,288",Beginner Level,4.8,"2,618 ratings"
1099,"Excel/VBA for Creative Problem Solving, Part 2",Computer Science,Algorithms,"92,943",Intermediate Level,4.9,894 ratings
1100,"Excel/VBA for Creative Problem Solving, Part 3 (Projects)",Computer Science,Algorithms,"52,229",Advanced Level,4.9,
1101,Executive Data Science Capstone,Business,Leadership and Management,"6,623",Approx. 2 hours to complete,4.7,"1,380 ratings"
1102,Expanding SEL,Social Sciences,Education,"9,623",Advanced Level,4.8,77 ratings
1103,Experimental Methods in Systems Biology,Health,Research,"21,639",Approx. 18 hours to complete,4.5,
1104,Experimentation for Improvement,Data Science,Probability and Statistics,"29,501",Intermediate Level,4.8,
1105,Art of the MOOC:  Experiments with Sound,Arts and Humanities,History,"5,783",Beginner Level,4.7,
1106,Exploiting and Securing Vulnerabilities in Java Applications,Computer Science,Computer Security and Networks,"15,431",Intermediate Level,4.6,29 ratings
1107,Exploratory Data Analysis,Data Science,Data Analysis,"221,248",Approx. 55 hours to complete,4.7,"5,678 ratings"
1108,Exploratory Data Analysis with MATLAB,Data Science,Data Analysis,"116,246",Beginner Level,4.8,530 ratings
1109,Exploring Basic Income in a Changing Economy Teach-Out,Business,Finance,0,Beginner Level,,8 ratings
1110,Exploring Beethoven’s Piano Sonatas Part 2,Arts and Humanities,History,"5,635",Beginner Level,5.0,117 ratings
1111,Exploring Beethoven's Piano Sonatas Part 3,Arts and Humanities,Music and Art,"3,280",Beginner Level,4.9,84 ratings
1112,Exploring Beethoven's Piano Sonatas Part 4,Arts and Humanities,History,"3,525",Intermediate Level,4.8,
1113,Exploring Beethoven's Piano Sonatas Part 5,Arts and Humanities,History,"3,139",Intermediate Level,4.9,18 ratings
1114,Exploring Beethoven's Piano Sonatas Part 6,Arts and Humanities,History,"3,219",Intermediate Level,,
1115,Exploring Renewable Energy Schemes,Physical Science and Engineering,Environmental Science and Sustainability,"28,887",Beginner Level,4.7,227 ratings
1116,"Cameras, Exposure, and Photography",Arts and Humanities,Music and Art,"562,366",Approx. 18 hours to complete,4.7,
1117,"Extinctions: Past, Present, & Future",Physical Science and Engineering,Environmental Science and Sustainability,"13,433",Beginner Level,4.9,
1118,Basics of Extracellular Vesicles,Health,Basic Science,"13,174",Intermediate Level,4.8,262 ratings
1119,Extracellular Vesicles in Health and Disease,Health,Research,"5,826",Intermediate Level,4.8,44 ratings
1120,Factorial and Fractional Factorial Designs,Data Science,Probability and Statistics,"18,179",Intermediate Level,4.8,16 ratings
1121,Introduction to Faecal Sludge Management,Physical Science and Engineering,Environmental Science and Sustainability,"17,076",Intermediate Level,4.8,
1122,Personal & Family Financial Planning,Business,Finance,"150,820",Approx. 15 hours to complete,4.6,
1123,Fashion as Design,Arts and Humanities,Music and Art,"254,191",Beginner Level,4.8,"2,172 ratings"
1124,Fundamentals of Engineering Exam Review,Physical Science and Engineering,Mechanical Engineering,"100,041",Approx. 22 hours to complete,4.6,508 ratings
1125,Feature Engineering,Data Science,Machine Learning,"40,486",Intermediate Level,4.5,"1,558 ratings"
1126,Data Processing and Feature Engineering with MATLAB,Data Science,Data Analysis,"40,801",Intermediate Level,4.6,223 ratings
1127,Federal Taxation II: Property Transactions of Business Owners and Shareholders,Business,Business Essentials,"20,967",Intermediate Level,4.9,108 ratings
1128,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Business,Business Essentials,"150,791",Intermediate Level,4.9,
1129,Giving Helpful Feedback,Business,Business Essentials,"31,286",Approx. 5 hours to complete,4.8,
1130,(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,Business,Business Essentials,"11,811",Approx. 5 hours to complete,4.8,184 ratings
1131,Nützliches Feedback geben (Giving Helpful Feedback),Business,Business Essentials,0,Approx. 5 hours to complete,,
1132,Fornire un feedback utile (Giving Helpful Feedback),Business,Business Essentials,0,Approx. 5 hours to complete,4.7,17 ratings
1133,Feeding the World,Health,Basic Science,"10,334",Beginner Level,4.7,131 ratings
1134,Feminism and Social Justice,Arts and Humanities,History,"170,531",Beginner Level,4.8,"2,967 ratings"
1135,Ferrous Technology I,Physical Science and Engineering,Electrical Engineering,"22,363",Beginner Level,4.7,449 ratings
1136,Ferrous Technology II,Physical Science and Engineering,Electrical Engineering,"18,663",Beginner Level,4.8,235 ratings
1137,Fibonacci Numbers and the Golden Ratio,Math and Logic,Math and Logic,"29,718",Approx. 9 hours to complete,4.8,718 ratings
1138,"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",Arts and Humanities,History,"55,905",Beginner Level,4.5,153 ratings
1139,Getting Your Film off the Ground ,Arts and Humanities,Music and Art,"16,385",Beginner Level,,18 ratings
1140,Finance for Everyone Capstone Project,Business,Finance,"4,618",Approx. 8 hours to complete,,17 ratings
1141,Finance for Everyone: Debt,Business,Finance,"19,822",Approx. 11 hours to complete,4.8,
1142,Finance for Everyone: Decisions,Business,Finance,"131,375",Approx. 12 hours to complete,4.7,625 ratings
1143,Business English: Finance and Economics,Language Learning,Learning English,"112,776",Intermediate Level,4.7,
1144,Finance for Non-Finance Professionals,Business,Finance,"164,494",Beginner Level,4.8,"1,774 ratings"
1145,Finance for Non-Financial Professionals,Business,Finance,"109,830",Approx. 7 hours to complete,4.5,"3,403 ratings"
1146,Finance for Non-Financial Managers,Business,Finance,"26,735",Intermediate Level,4.4,215 ratings
1147,Finance for Startups,Business,Finance,"21,490",Beginner Level,4.6,
1148,Fundamentals of Finance,Business,Finance,"99,958",Beginner Level,4.1,
1149,Financial Acumen for Non-Financial Managers,Business,Business Essentials,"39,979",Beginner Level,4.5,
1150,Finance for Everyone: Markets,Business,Finance,"52,766",Beginner Level,4.7,308 ratings
1151,Finance For Everyone: Value,Business,Finance,"19,548",Approx. 10 hours to complete,4.7,
1152,How to finance your venture ?,Business,Entrepreneurship,"5,086",Intermediate Level,,19 ratings
1153,Accounting: Principles of Financial Accounting,Business,Finance,"482,200",Beginner Level,4.8,
1154,Financial Accounting: Advanced Topics,Business,Finance,"273,212",Approx. 13 hours to complete,4.7,"1,264 ratings"
1155,Financial Accounting: Foundations,Business,Finance,"423,295",Approx. 13 hours to complete,4.7,"3,010 ratings"
1156,Fundamentals of financial and management accounting,Business,Finance,"43,561",Approx. 12 hours to complete,4.8,144 ratings
1157,The Language and Tools of Financial Analysis,Business,Finance,"63,771",Approx. 11 hours to complete,4.7,
1158,Essentials of Corporate Finance Capstone,Business,Finance,"6,955",Approx. 9 hours to complete,4.7,103 ratings
1159,Financial Engineering and Risk Management Part I,Business,Finance,"174,478",Approx. 18 hours to complete,4.6,
1160,Financial Engineering and Risk Management Part II,Business,Finance,"28,138",Approx. 17 hours to complete,4.7,612 ratings
1161,Financial Management Capstone,Business,Finance,"6,502",Approx. 6 hours to complete,4.7,
1162,Financial Markets,Business,Finance,"3,186,621",Beginner Level,4.8,
1163,Introduction to Financial Markets,Business,Finance,"134,177",Beginner Level,4.6,"2,776 ratings"
1164,Financial Planning for Young Adults,Business,Finance,"86,244",Beginner Level,4.6,322 ratings
1165,Financial Analysis for Startups,Business,Finance,"21,140",Beginner Level,4.5,76 ratings
1166,Financial Regulation in Emerging Markets and the Rise of Fintech Companies,Business,Finance,"10,365",Beginner Level,4.6,
1167,Financial Reporting Capstone,Business,Business Essentials,"6,734",Intermediate Level,4.4,21 ratings
1168,Financial Risk Management with R,Business,Finance,"35,574",Intermediate Level,4.5,107 ratings
1169,Understanding Financial Statements: Company Position,Business,Business Essentials,"144,145",Beginner Level,4.8,
1170,Financing Infrastructure in African Cities,Social Sciences,Governance and Society,"3,395",Beginner Level,4.6,35 ratings
1171,Financing and Initiating Major Engineering Projects,Physical Science and Engineering,Mechanical Engineering,"22,245",Approx. 21 hours to complete,4.7,127 ratings
1172,Financing for Startup Businesses,Business,Finance,"12,954",Intermediate Level,4.5,104 ratings
1173,Фінанси для нефінансових спеціалістів,Business,Finance,"3,771",Approx. 5 hours to complete,4.7,
1174,Finding Purpose and Meaning In Life: Living for What Matters Most,Personal Development,Personal Development,"308,071",Beginner Level,4.8,818 ratings
1175,The Finite Element Method for Problems in Physics,Physical Science and Engineering,Mechanical Engineering,"55,746",Intermediate Level,4.6,407 ratings
1176,FinTech Disruptive Innovation: Implications for Society,Business,Finance,"14,061",Beginner Level,4.7,54 ratings
1177,FinTech Risk Management,Business,Business Essentials,"25,204",Beginner Level,4.6,
1178,FinTech and the Transformation in Financial Services,Business,Leadership and Management,"56,365",Beginner Level,4.3,
1179,FinTech Law and Policy,Business,Finance,"43,277",Beginner Level,4.8,448 ratings
1180,"The Effect of Fires on People, Property and the Environment",Physical Science and Engineering,Environmental Science and Sustainability,"17,223",Approx. 14 hours to complete,4.7,298 ratings
1181,Firearm Purchaser Licensing Teach-Out: The Background Check Policy Not Enough People Are Talking About,Social Sciences,Governance and Society,0,Beginner Level,3.5,15 ratings
